komentar,label
rakus sampe masyarakat pakai senjata banyak militer atas tanah adat masyarakat baru masyarakat milik hak ulayat mau mana ambil semua milik masyarakat asli rakus sampe,-1
tanah adat lama jdi hgu kmudian rampas jabat pathok jdi sertifikat milik usaha pribumi bisa kutik smakin singkir hutan ladang smua ambil atas nama negara,-1
bansa laknat rakus luar biasa,-1
apa lalu slah,0
habis gundul hutan moore,-1
selamat datang k mbali orde baru,1
duh sih begini apa ngga ada program buat papua,0
gua tuju papua merdeka,1
perintah seperti sadar rusak ekosistem,-1
mungkin salah satu alas papua merdeka,0
tahan pangan nasional dukung harus optimis,1
proyek sejahtera rakyat papua untuk tahan pangan padi kerja adalah orang papua tani intensif butuh bukan gantung alam,1
semangat food estate moga sukses,0
proyek banyak manfaat semua rakyat utama saudara i ku tanah papua spy sejahtera dgn catat mau kerja dgn gia jujur tanggung jawab kerja tidak dusta antara mari dukung program dgn juang kita anak cucu kita depan,1
biasa awal penuh protes belum paham kena provokasi klo rasa panen raya baru warga papua senyum senyum terima kasih,0
sangat tuju masyarakat kerja,1
tuju untuk penting rakyat banyak,1
tuju nya jadi lumbung beras daya masarakat lokal bukti libat akhir sejahtera masyarakat lokal,1
tuju itu sejahtera masarakat papua,1
smoga dgn jalan proyek trsbt harga beras gula murah,1
terus dampak baik catat masyarakat luas libat ekologi jaga baik,0
masyarakat harus nya tuju makmur pangan desa ibarat orang ngajarin kerja anak biar gak nganggur inti klo kerja makan kita gak cuma makan banyak butuh lain,1
sangat tuju terus yakin ada nya progam papua lebih maju bidang tani swasembada pangan,1
terus terang program sangat manfaat utama cetak sawah penuh butuh pangan nasional jadi lumbung nasional tentara perlu hadir utama daerah rawan konflik utama papua sering jadi tembak rusuh kkb,1
psn tahan pangan mararauke sangat tuju terus tingkat produksi butuh pangan rakyat indonesia,1
untuk baik semua rakyat tan lebih bagus pada buru,1
gua tuju dgn syarat warga merauke lebih sejahtera sekarang,1
aku tuju food estate terus sbb uda panen x sthn trahir arti nya daerah stu cocok unt tani,1
sangat dukung pada hutan bengkalai kapan indonesia maju sangat tuju,1
liat panen raya merauke optimis indonesia swasembada pangan,1
tuju mulia perintah semua rakyat sejahtera karna tau harga bahan bagi papua murah dari perintah hadir atas timpang harga sebut semua untuk rakyat papua sendiri bagai anak bangsa ttp dukung perintah jangan mau adu domba media milik asal orang luar,1
mace pace terus juang kamorang moga jalan baik tanah animha tuannnya bukan tanah kosong sedikit sejarah spya mngerti tahun an namany org buang rantai kirim belanda papua utama merauke lalu ad kirim sbg tenaga kontrak kerja daerah penghsil kopra tahun an lbh namnay rintis melksanakn pepera tahun an bru ad transmigrasi dimerauke hingga tahun perlu ingat sejak zaman belanda msyrakat merauke sdh ajar cara cocok tanam hanya belanda krena jepang smpai msuk wilayah merauke soal tanah akan dijdikn proyek nasioanl ketahann pangan padi tebu sebaikny kaji ulang kondisi kualitas tanahny krena bs jdi nti gagal yang diri adlaah sawit smga sj ad jalan baik baik semua,-1
mantap moga swasembada pangan,0
lanjut untuk lumbung pangan semua beri edukasi masyarakat libatkn masyarakat latih yntuk tan tni ajar tan bisa lanjut sm wrga klu mau maju sejahtera lanjut,1
tuju rakyat papua miskin lg,1
foodestate lanjut kembang catat ada rugi masyarakat lingkung tahan pangan tahan daulat bangsa masa depan,1
ayo warga papua semangat perintah kamu hidup lebih sehat manfaat martabat,-1
turut lama lebih sampai ancam flora fauna endemik apa nanti kalau proyek jadi masyarakat papua akan dapat banyak positif sepet sedia lapang kerja proyek besar sudah banyak timbang juga,1
nama buka lahan tani baru harus dukung nanti rakyat papua miskin bantu beras bulan program tahan pangan,1
dukung trus food estate didik masyarakat merauke latih cocok tanam klo perlu kirim transmigran ksana tpi batas didik masyarakat tempat cocok tanam,1
tuju sekali perintah kareahkan semua buat food estate militer perlu orang bikin rusuh protes warga perlu beri informasi persuasif,1
tuju terus musti selesai masalah adat,1
sangat tuju d lanjut proyek nya lebih besar maslahat banding mudhoratnya nkri,1
perintah rakyat sejahtera tidak kurang pangan ada gelintir org berat hal saya dukung indonesia maju,1
lanjut biar impor mulu,1
